Regex,Attempt Regex,ChatGPT Output
(a|baa)*,b*a*aa,"positive example:[bbaa, aaaa, aa, baa, bbaaa]  
negative example:[bbb, a, bba, ab, bb]"
a(a|b)a(a|b)*,a(a+b)a,"positive example: [aaba, aaaba, aabaa, aababaa]  
negative example: [aba, abaa, aaa, baa,abab]"
(a|b)(a|b)+aaa+,(ab)+aaa*,"positive example: [abaaaaa, ababaaa, ababaaaaaa, abaaaa, ababaaa]
negative example: [aaa, aaaaa, baaaa, aabaaa, bbaaaaa]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b?)(a*b|b|ba|a*ba),"positive example:[baab, aaaba, bba, aba, ba, aabaa, bab]
negative example:[a, bbb, ab, bbba, aa, abbb, baa]"
(0*10*10*)*|0*,(0+1)*(1+1)*0*,"positive example:[00, 01, 0101, 01101, 0101100], negative example:[0110, 110, 1001, 1110, 101]"
(b|(a*aa))*,(a|b)*aa(a|b)*,"positive example: [aa, abaaba, baa, aaa, aabaa]

negative example: [a, bb, ab, bab, ba]"
(a*ba*b)*a*ba*,(aa|ab|ba|bb)*b,"positive example: [b, aaabbabbb, aaaaab, abbbb, babb]
negative example: [ab, aaaa, aba, baab, bb]"
(a|b)(a|b)+aaa+,"[ab]a{3,}","positive example: [baaaaa, aaabaaa, baaabaaa]
negative example: [aa, baa, a]"
1*(01*01*01*01*)*,(0|1)*(0000),"positive example: [0000, 010000, 10000, 11110000, 0010000]  
negative example: [000, 1111, 1001, 1010101, 01010]"
(a|baa)*,(a*)|(a*baa*)|(baa*),"Positive example: [aabaa, abaaa, , aa, aba, b, baa, bbaa]

Negative example: [baabaa, aaba, bab, baaab]"
(a*ba*b)*a*ba*,(a*|b+)bb*,"positive examples: [abb, bb, abbb, abbbb, aabbb]
negative examples: [ab, aaa, baa, aabb, abbbbba]"
b*a*,((aa*)|(a*b*)),"positive example: [a, aa, ab, aaaa, aab, abb, aaaaabb, b]
negative example: [ba, bb, baa, bbb, abab, baaa, bbba]"
(a|b)(a|b)+aaa+,aaa(a)*|(a|b)baaa(a)*,"positive example:[aaa, aaaaa, abaaa, abaaaaa, bbaaa, bbaaaaa], negative example:[a, aa, ba, abaa, abba]"
(ab|ba)*,(ab+ba?)(ab+ba)*(aa+bb+ab+ba)*,"positive example: [abbaabba, abbbabbaa, abbbabbaaabba, abbabbaa, abbbabba]

negative example: [abab, aabbaa, bbaa, abb, aabb]"
(a|(b*bb))*,(a|b+)+,"positive example: [a, aa, b, bb, abb, bab, aaabb]
negative example: [c, ac, bac, abc, bbbbc]"
(ab|ba)*,((aa)+(bb))*,"positive example:[, aabbaabb, aabb, aaabb, aabbbaaabb], negative example:[a, b, abab, bb, aab, bbaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(((1*)(01)(0|1)*)((0*)(10)(0|1)*))*,"positive example: [11, 00, 01011001, 0000, 1111, 01, 1010, 101101]

negative example: [010, 101, 110, 001, 011, 0010, 1001, 0110]"
(a|b)(a|b)+aaa+,a*b*|b*a*aaa,"positive example: [aaa, baaa, bbaaaaa, a, , aabb]  
negative example: [abbaaaa, bbbbb, aaabbb, ababab, xyz]"
0*10*(10*10*)*,(0*(11)*0*10*)|(0*),"positive example: [00, , 001111001, 100, 11, 0010, 1110, 0110, 0, 111111, 101]
negative example: [1101101, 011010, 111010, 1111, 1011, 1101, 1001]"
(a|baa)*,b*|a*aa,"positive example:[, b, bb, aaa, aaaa, bbb, ba, aa]
negative example:[a, ab, baa, aba, abba, baaa, aab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0)|(1+1)|(0+0)|(1+0),"positive example: [00110, 1110, 111, 11, 00, 10, 010, 11100, 110, 0000]  
negative example: [1, 0, 101, 011, 001, 1111, 100, 1100, 0100, 01]"
(a*ba*b)*a*ba*,((a*(bb)*a*)b)+,"positive example: [abb, bbb, abbb, bbab, bab, abbab, bbabb]
negative example: [a, aa, aba, aab, ba, bba, babb]"
(0*10*10*)*|0*,0*1+0*1+,"positive example: [110, 01110, 1001, 111101, 0001110]  
negative example: [10, 0001, 111, 010101, 100011]"
(a|baa)*,a*|(a*b*aa)*,"positive example: [a, aa, aaaa, aaaaabaaaa, abbaa, baaaaa]
negative example: [b, ab, abaaa, abba, bb, aab]"
(a|baa)*,b*aa+,"positive example: [aa, aaaa, bbaa, baa, bbaaa]  
negative example: [a, b, ba, bbb, baaab]"
(ab|ba)*,a*b*|b*a*,"positive example:[aa, bb, ba, ab, a, b], negative example:[aba, bab, aab, bba, abb]"
(a|baa)*,"b+a{2,}","positive example:[baaa, baaaa, baa, baaaaa], negative example:[ba, b, a, aa, aaa]"
(a|b)*(bab)(a|b)*,(a+b)*(bab)*(a+b)*,"positive example: [babab, abbabab, abab, abbab, aabbab]

negative example: [abbaba, babba, aaabab, bababab, ababab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|0*(1+0+1+)*0*|1*|0*|0+1+0+1+0+1+0+,"positive example:[110, 001010, 111111, 000, 01010101010, 1010100, 1001], negative example:[0101, 1010010, 01010101, 10101010]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+(10)+)*|(1+(01)*0+1+)*|1*|0*,"positive example: [11, 00, 101101, 010, 101, 01001010, 1, 0, 101010, 11011, 1001]

negative example: [100101, 101001, 010101, 0110, 100010]"
(a*ba*b)*a*ba*,a*b(a*ba*ba*b)*a*,"positive example: [aab, bbabbb, baabba, abba, baaba, babab, babbaabbbab],  
negative example: [bb, aba, aaaba, baa, abb, ab, ba, abbb]"
(a|baa)*,a*ba*((ab|ba|b)b)*a*,"positive example: [abb, abba, bb, abaabbba, babbb, aababbaa, babba, abbba]
negative example: [abab, aaabab, aabba, baabaaa, bbab, baaabba, ababab, bababa]"
(a*ba*b)*a*ba*,a*b(a|(bb|aba))*,"positive example: [ab, aba, ababb, aababa, aaabaabb]
negative example: [a, abab, bbab, aabba, abbba]"
(a|baa)*,(abb)*,"positive example:[, abb, abbabb, abbabbabb, abbabbabbabb], negative example:[a, b, ab, ba, abba, bab, bba]"
b*a*,(a)(a*)*(b*)*(a*)*,"positive example: [a, aa, aaa, ab, aab, abbb]  
negative example: [abab, b, ba, bb, bbb, aba]"
(a|(b*bb))*,(ab)*(b+b+)(ab)*,"positive example:[bb, abbbab, babbab, abababbb, bbabab, abbbbab]
negative example:[b, babbb, abb, bbb, ba, aba]"
0*10*(10*10*)*,1|((0|1)*1(0|1)1*0*),"positive example: [1, 101, 110, 1110, 11100, 100, 0110, 1010]  
negative example: [0, 10, 000, 1001, 01, 11001, 10100]"
(a|baa)*,((b*)(a)(a)(a*))*,"positive example:[, aaabaa, aaa, baa, abaaa, bbaaa]
negative example:[a, ab, ba, aab, abab, baba]"
1*(01*01*01*01*)*,(1*01*01*101*)*1*,"positive example: [111, 10010101101, 10110110110, 101110, 101010]

negative example: [100, 01010, 10100, 0111, 00110]"
(a|b)(a|b)+aaa+,(aa*|bb*)aaa+,"positive example:[aaaa, aaabaaa, bbbaaaa, baaaa]
negative example:[aaa, aa, bbaaaaa]"
0(0|1)*0,(0(1+(0*1+)*)*0)*,"Positive example: [ε, 0001010, 010010, 01010, 000000]
Negative example: [0100, 010, 110101, 111, 100]"
(a|(b*bb))*,(a*b*b)|(a*),"positive example: [ , a, aa, ab, bb, aabbb, aabb, bbb, aab, aaa]
negative example: [ ba, aba, bab, abbb, bba, bbbb]"
(b|(a*aa))*,a*b*(aa)*b*,"positive example:[aa, aabbaa, aaabb, aaaa, abbaaa]
negative example:[bbab, abba, baab, aba, bbaa]"
(a*ba*b)*a*ba*,a*|b+(a*|bb*),"positive example: [bbaa, b, a, """", ba, aa, bba, bbb, bbbba]
negative example: [c, abb, ab, bbaaa, bbba, aba]"
(a|b)*(bab)(a|b)*,(bab)*a*b*(bab)*,"positive example: [bab, babab, babaabbab]   
negative example: [bbaba, aba, bbbbab]"
(0(0*|1+0)*)|(1(1*|0+1)*),(1+0+1+)*|(0+1+0+)*,"positive example: [1010101, 0101010, 110101, 001100, 101, 010, 0110]

negative example: [1, 00, 111, 01, 10]"
(a|b)(a|b)+aaa+,b*a(a|b)aaa*,"positive example: [aaaaaa, bbabaa, baaaa, bbaaabaa, baaa, aaa, baba, baaabaaa]  
negative example: [ba, aaaa, bbb, aa, babaaba, abaaa, bba, bbabbaaaa]"
0*10*(10*10*)*,(0)*(1+)*(0)*,"positive example: [1, 111, 001, 100, 0110, 000111000]
negative example: [011, 101, 110, 10, 0101, 1100]"
(a|(b*bb))*,bb*|a*|b*,"positive example:[b, bb, bbb, a, aa, aaa, ab, bbbbb], negative example:[ba, aba, bab, aab, bbab]"
(ab|ba)*,((a+b)(a+b))*,"positive example:[, abab, abaab, abababab, abaabab],
negative example:[aa, bb, aab, bba, baa]"
(a|(b*bb))*,(a|bb)*|(b|bb)*,"positive example: [bb, b, a, bbb, abb, ba, bbbb, ab, abbba]  
negative example: [bbbba, bab, aab, bbaa, aa, aba, bbabba]"
(ab|ba)*,((ab)*(a|b)(a|b)|(ba)*(a|b)(a|b)),"Positive example: [aba, babb, abbb, baab]  
Negative example: [bbb, aa, abababa]"
(a*ba*b)*a*ba*,(bb)*a*ba*(bb)*(ab)*,"positive example: [aabba, bbbaba, babbab]
negative example: [aaabb, abbbba, aabab]"
0*10*(10*10*)*,0*(1(11)*|0*),"positive example:[, 0, 00, 1, 11, 111, 001, 001111, 0000000],negative example:[10, 101, 110, 1110, 1011, 11001, 01110, 100, 1000]"
(a|baa)*,a*|(?:a*|b+([a]{2})+)*,"positive example:[aa, a, baa, baaabaa, aaaaa]
negative example:[b, bab, bb, ab, ba]"
(a|(b*bb))*,a*(b+a)*(bb+b)*(b+a)*,"positive example:[, aabababbbb, a, abab, babbb, abbbba, aaaabbbb, abba, abb, babb], negative example:[b, aa, bbbbbb, bbba, ab, ba, aabba, aaaa, baa, bbbb]"
(a|(b*bb))*,b+,"positive example:[b, bb, bbb], negative example:[a, c, ab]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)((a|b)a*ba)*)?,"positive example: [abababba, bbaba, aba, bba, ababba, bbaa]
negative example: [abab, aab, baa, bab, aa]"
(a|(b*bb))*,b*,"positive example:[, b, bb, bbb, bbbb], negative example:[a, ab, ba, bab, baab]"
a(a|b)a(a|b)*,a(a|b)*a,"positive example: [aa, aaba, aba, abba, aaaa, abaaa, aaaba]  
negative example: [a, ab, abb, ba, bba, bab, abab]"
(a|(b*bb))*,(a|b)*bb*b(a|b)*,"positive example: [bb, ababbaaba, bba, abb]
negative example: [b, aaa, ba, abab]"
(0|1)(0|1)*,0*,"positive example:[00, 0, ],negative example:[1, 01, 10]"
0*10*(10*10*)*,1(1?)|0*,"positive example:[, 1, 11, 0, 00, 000], negative example:[111, 10, 001]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0*1+)*|(0+1*0+)*,"positive example: [0, 101101, 00101, 0100110, 111, 000, 010101, 1001], negative example: [1, 01010, 11, 001, 0100, 110]"
(a*ba*b)*a*ba*,(a*([b](bb)*)a*)?,"positive example: [b, bb, abba, aabb, abbbba, ababbaa]
negative example: [bbbbbb, babba, ababa, aaba, baa, bbab]"
(ab|ba)*,(ab+aa+bb+ba)*(a+b)*,"positive example: [abbaa, aaaa, bbbaabb, babbab, ababababb]
negative example: [abaabca, abbaa!, abbabc, bab1ab, abb acc]"
(a*ba*b)*a*ba*,((b)(a)+)|((bbb)+(a)*),"positive example:[ba, bba, bbba, bbbaa, bbbaaa]
negative example:[b, a, baba, ab, baa]"
b*a*,(a*b*a+)|(a+b*a*),"Positive examples: [ba, abb, aab, bbaa, aa, aba, aabbaa, baa]

Negative examples: [b, baba, bb, bba, ab, abba, aabb]"
(a|(b*bb))*,(a+b)*b*(a+b)*,"positive example: ["""", ""b"", ""bb"", ""a"", ""aba"", ""abbb"", ""abab"", ""aabbab"", ""babab"", ""bab""]

negative example: [""abbaa"", ""babbab"", ""aabaa"", ""abbabb"", ""baaaa"", ""babababab""]"
(a|baa)*,(b)+(a)+(a)*,"positive example:[ba, bba, baa, bbaa]
negative example:[b, a, baba, aa]"
(0*10*10*)*|0*,1(0*|1)1,"positive example:[11, 101, 1001, 1101, 10001],negative example:[10, 1110, 010, 100, 000]"
(a|b)(a|b)+aaa+,"(aa|bb|ab|ba)*a{3,}","positive example:[aaaa, abaabbbaaaa, bbbaaaaabbbaaa], negative example:[baaa, aaaba, bbba]"
001|1010|110,0*1*0*1*,"positive example:[1, 00011, 0100, 0, 111, 001101]
negative example:[101010, 1100101, 010101]"
001|1010|110,(0|1)*01(0|1),"positive example:[11011, 01011, 10010],negative example:[10100, 01000, 11000]"
(a|b)(a|b)+aaa+,(a|b)a*|b*aaa*,"positive example: [bbaaaa, bbaa, b, a, aa, ba, baa, bb, bba, bbb, bbaaa]  
negative example: [ab, abab, aba, bbbab, aaaa, bbbaa, aaab]"
001|1010|110,(001)|(10101)|(110),"positive example:[001, 10101, 110],negative example:[0, 10, 111, 000]"
(0*10*10*)*|0*,0*1+0*1+0*,"positive example: [0101, 111, 001101, 1001100, 0001100]  
negative example: [10, 001, 100, 101, 011111]"
(a|baa)*,a*|(b*aa)*,"positive example: [aaaa, aa, aaaaabaa, aabaaaaa, bbaaa]
negative example: [ba, ab, bb, aab, baa]"
(a|b)(a|b)+aaa+,ab(ab|aa|ba|bb)*(aaa)*,"positive example:[abaaa, abaa, abababaaa, ababaabbbaa, abbbaaa], negative example:[aba, aaaa, baa, bbba]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((0+1+0)*(1+0+1)*)*,"positive example:[0, 1, 111, 000, 0101010, 101]
negative example:[111111, 000000, 01010101, 1100]"
(a*ba*b)*a*ba*,(a)*(aa*)|(bb)*b|a+,"positive example: [bbbbbb, aaa, aa, bb, aaaa, a, bbbbbb, aaaaaaaaaa], negative example: [abb, ba, cb, abc, bba, aaaab, bbbbbbb]"
(a|b)(a|b)+aaa+,a*b*a*aaa,"positive example:[aaa, abaaa, aabaaa, aabbaaaaa, aaa, baaaa], negative example:[babaaaa, ba, abba, baa, aabbaa]"
0*10*(10*10*)*,(((1*)+)+)|0*,"Positive example: [00, 0, 1, 000, 11, 111]
Negative example: [01, 10, 011, 110, 001, 101]"
(a|(b*bb))*,a*(b+a)*(bb)*(bbb)*(b+a)*,"positive example: [aabbbbb, abbbb, bbbbb, abababbbbb]
negative example: [bb, bbbbbb, aaab, baaaa]"
(a*ba*b)*a*ba*,(a*)(b(a*)(b(a*)b))*,"positive example:[a, abba, aabbaa, ababba, abbabbaa], negative example:[aa, bba, aba, bbab, ababb]"
(0*10*10*)*|0*,0*1(0|1)*,"positive example: [101, 1001, 011, 1100, 1]
negative example: [00, 10, 0, 00, 000]"
(a*ba*b)*a*ba*,a*b|(a|ba*b)*,"positive example:[b, ab, aab, aaab, ba, bab, baaab], negative example:[aba, bb, aa, baa, baa]"
0*10*(10*10*)*,(((1?)*|(11?)*)|(111?)*)*|0*,"positive example:[00, 0, 1, 000, 01, 111, 1111, 001, 110], negative example:[10, 2, 123, 01a, 101, 0001, 011]"
(0|1)(0|1)*,1*,"positive example: [1, 11, 111, , 1111], negative example: [0, 10, 01, 110, abc]"
(ab|ba)*,(a+b+a+b+)*,"positive example: [aba, bab, ababab, abbaab, aabbaabb]
negative example: [a, b, aa, bb, ab, ba]"
(b|(a*aa))*,(b*aa*b*)|(b*a*ab*),"positive example: [aa, baa, aab, bab, abab, baab], negative example: [b, ab, bbb, aba, a, ba, bbaa]"
(a|b)(a|b)+aaa+,(ab|ba|aa|bb)*aaa,"positive example:[aaa, abbaaabbaaa, babaabaa, baaaaaa]
negative example:[aaaa, abbaaabbba, bbababbb, bababab]"
(a*ba*b)*a*ba*,((a|bb)*ba*(a|bb))*,"positive example:[abba, ababb, bbbabba, babba, babbbba],
negative example:[abbbb, baaba, bbbbab, bbbbba]"
(a|b)(a|b)+aaa+,(a|b+aaa)*,"positive example:[, abaaa, aaa, baaabaaabaaabaaa, abaaabaaa], negative example:[b, aaaaa, ababaab]"
(a|(b*bb))*,(a)*(bb)*(b+a)*,"Positive example: [bbbb, aaba, ababa, bbab, abb, abba]
Negative example: [ab, ba, baa, bbb, abab]"
0*(10*1)*0*,0*1*,"positive example:[0, 01, 11, 0011, 000, 00011], negative example:[10, 1100, 101, 100]"
(a|baa)*,"[a-b](ba{2,})?","positive example: [a, abaa, bbaa, baa]  
negative example: [bb, aaaa, aab, ab, aa]"
(a|(b*bb))*,a*(b*b)a*,"positive example: [abbba, bba, aaabbaaa]  
negative example: [aba, aabba, bb]"
(a*ba*b)*a*ba*,(ab)*,"positive example:[, ab, abab, ababab, abababab], negative example:[a, b, abb, ba, baba]"
(a|b)(a|b)+aaa+,a(a|b)aaa*,"positive example: [aaaa, abaaaa, aaaaa, abaaa, aba]  
negative example: [aaa, abaa, baaaa, aaabaa, abbaaa]"
(b|(a*aa))*,b*(a*a*)*b*,"positive example:[, bbabb, baa, aabbaa, bbaab, abba]
negative example:[abab, baab, ab, a, bbaabb]"
a(a|b)a(a|b)*,a+(a+b)+a+(a+b)*,"positive example: [aabaab, aababaa, aabaaabab]  
negative example: [aaaba, ab, abaaba]"
(a|b)(a|b)+aaa+,(a*b*)(aaa+),"positive example:[aaa, abaaa, aaaa, bbaaa, aabbaaaa], negative example:[aaab, aa, ababaaa]"
(0*10*10*)*|0*,(1|01*0)*,"positive example:[, 10, 100, 010, 0100, 10100], negative example:[000, 111, 0010, 1000, 011]"
(a*ba*b)*a*ba*,a*b(bb+|a*|bab)*,"positive example: [aabbb, ab, ababbb, babb, abb]
negative example: [aab, baa, abbbab, aaa, bbba]"
(0*10*10*)*|0*,(1|01*0),"positive example: [00, 010, 0110, 1, 01110, 011110]  
negative example: [0, 001, 011, 10, 110]"
(a|b)(a|b)+aaa+,((a|b){3}(a|b)*aaa+)|(aaa*),"positive example: [aabbaaa, abbbaa, aaa, aaaaaa, aaaab, baaaa]
negative example: [abaaa, a, aaab, baa, ab, bbba]"
1*(01*01*01*01*)*,1*(1*01*01*01*01*01*)*,"positive example:[1, 101, 1101, 11101, 10101, 11110101],negative example:[01, 100, 11001, 010, 211]"
0*10*(10*10*)*,(0*|(1(11))*)+,"positive example:[0, 0111, 1111, 111111, 111111111], negative example:[1, 11, 10, 1110, 11111]"
a(a|b)a(a|b)*,aaa|(a+b)*|aba(a+b)*,"positive example:[aaa, abab, ab, , aba, aab, abaab, ababab, abaabab]
negative example:[a, ba, abaa, abb, b, abba, aa, bab]"
(a*ba*b)*a*ba*,a*(bb)*b+a*,"Positive example: [abb, bbba, abba, abbbbba]

Negative example: [aaa, bbbb, aba, ba]"
(a|baa)*,a*(b*aa)*,"positive example:[, a, aa, abaa, aaaaaa, baa, abaaaa], negative example:[b, aab, ab, baaab, aba, abb]"
(0|1)(0|1)*,1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*,"positive example:[1, 0, 100100100100100100100100, 1110011100111001110011100, 101010101010], negative example:[0110011001100110011, 110110110110110, 1010101010101010, 111111, 000001000010]"
(a|(b*bb))*,(a|b)*b*bb*(a|b)*,"positive example: [baa, aaba, b, abab, abbb, babb]
negative example: [aaaa, bbb, aba, bbab, aaa, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*(10)*)*,"positive example: [ε, 01, 10, 0110, 1001, 011010, 100110]
negative example: [1, 0, 110, 001, 101, 01010, 11001]"
(0*10*10*)*|0*,(0*1(0*10*110*)+)|0*,"positive example: [0, 000, 01, 0110, 00110, 00101100]  
negative example: [111, 10, 011, 11111]"
(0*10*10*)*|0*,(0*1+)*,"positive example:[, 101, 01, 111, 011, 001], negative example:[10, 110, 100, 1110, 010, 0010]"
(ab|ba)*,(b*ab*ab*)*,"positive example:[, ababba, baaab, ababab], negative example:[b, aaab, ababbb]"
(a|baa)*,(a|abb+)*,"Positive example: [a, abb, abba, aabbb, aabb, abbaabb]  
Negative example: [b, abbabb, abab, aa, abbbaa]"
(a|(b*bb))*,(b*bb*)|a,"positive example:[b, bb, bbb, a, bbb], negative example:[ab, ba, aa, bbba, abb]"
b*a*,a(a)*|(a*b*),"positive example: [a, aa, aabb, b, ab, aaaa, abb, bb]  
negative example: [bab, ba, bbb, aba, c, ac, bac, dab]"
(a|b)(a|b)+aaa+,a*|a*(baaa)a*,"positive example: [a, aaa, baaabaaa, aba, aabaaaa]  
negative example: [bba, bb, aabba]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a(a|b)a*b)*)*,"positive example:[, a, ab, aba, abba, abbbabb, baa, baabba]
negative example:[b, abb, baaab, baab, abbaab, abaabb]"
(a|b)(a|b)+aaa+,(a*b*|a*a*|b*b*|b*a*)(a{3}),"positive example:[aaaaaa, aaa, bbaaabaaa, ababaaa], negative example:[abaa, bbb, abbaaa, aaabb]"
(a|b)(a|b)+aaa+,ab|aaa*,"positive examples: [ab, aaa, aaaaa, aaaaaa], negative examples: [b, aab, abb, aaab]"
(a*ba*b)*a*ba*,b+(a*|bb*),"positive example:[b, ba, baa, bbaa, bbb, bba], negative example:[a, ab, bbbab, aab, abb]"
(0|10*1)*,(0*1)*,"positive example: [1, 11, 01, 101, 111, 0111], negative example: [0, 10, 110, 001]"
(a|(b*bb))*,a*(b*bb*)a*,"positive example:[bba, baa, aabbba, abbba, aaabbbba, abba], negative example:[aaa, ababab, bab, bbaba, abbb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(0|1)*1|0(0|1)*0?,"positive example:[11, 0, 1101, 1011, 001, 101, 010, 000, 111, 0110]  
negative example:[1, 10, 100, 1111, 0011, 1010, 011, 01, 11, 11]"
(a|(b*bb))*,a*b(b+a)*ba*,"positive example: [bb, bbbaba, abba, aabbbaba, abababababa]  
negative example: [bbba, aab, babb, baa, ababab]"
(a|b)*baa(a|b)*b,(ba*)+b,"positive example: [bab, baaab, baab]
negative example: [b, bb, a]"
a(a|b)a(a|b)*,a(a+b)+a(a+b)*,"positive example:[aabaa, aabab, aabaab, aababaa, aababa], negative example:[aaa, ab, a, b, aaab]"
0*10*(10*10*)*,(111)*(1)*,"positive example:[, 1, 111, 1111, 111111, 11], negative example:[11, 1111111111, 2, 0, 01]"
b*a*,(a)(a)*(b)*(a)*,"positive example: [a, aa, aaa, ab, aab, abba, aaabaa, abb]
negative example: [b, ba, ababab, aba, bb, bba, baa, abab]"
a(a|b)a(a|b)*,(a)*(aaa)*(aba)*(a+b)*,"positive example:[aaa, aaaaa, aaba, aba, aabaa, aaab, abaa, abba]  
negative example:[aaaab, baa, abaaa, bbaa, babaa, aaaaba, aaabba]"
(a|baa)*,(ba*)*,"positive example: [ba, , bb, b, baa, bab, baba, bba, baaa]

negative example: [a, ab, abb, aaa, aab, aba]"
(a|baa)*,(a)*(b|aa)*(a)*(b|aa)*,"positive example:[, baababaa, b, aa, aabaa, aabbaa],negative example:[babab, abb, aabbb, aaaab, baabaaab]"
(0*10*10*)*|0*,(01)+(01)+,"positive example: [010101, 0101010101, 010101010101], negative example: [01, 0101, 010]"
0(0|1)*0,(0(1+(0*1+)*)*0)*|0*,"positive example:[00010, 000, 0, 00, 0100, 01100, 001100, 0010]
negative example:[1, 0010, 101, 011, 1100, 1001, 111, 0011]"
(a|b)(a|b)+aaa+,"(a|b)(a|b)a{2,}","positive example: [baaaaa, abaaa, baa, ababaaa, babaaaaa]  
negative example: [aaa, ba, ab, aaaa, aba]"
(a|b)(a|b)+aaa+,a*b*a{3},"positive example: [aaa, aabaa, abaaa, aaabaaa, bbaaa]  
negative example: [aab, abaa, baa, abbaaaa, aabaaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)(0|1)(0|1)*,"positive example:[0101, 0011, 1100],negative example:[01, 2, 111]"
(a|b)*baa(a|b)*b,(a|baa)*b,"positive example:[ab, baab, abbaa, abb, b, aab]
negative example:[bb, aa, bab]"
(a|(b*bb))*,bb(a|b)*b,"positive example:[bbb, bbbab, bbabb, bbbb, bbabab], negative example:[bba, bb, babb, bbaa, bab]"
(a|baa)*,(a)*((b)+(aa)+)*(a)*,"positive example:[, a, aa, aaa, b, baa, aabaaaabaa, aabaa, abaa], negative example:[baaabaa, bba, aaaabb, aabaaa]"
(a|baa)*,(b)(aa+)*,"positive example: [b, baa, baaa, baaaa]

negative example: [a, aa, ba, aab]"
(a|b)(a|b)+aaa+,(a+b)*aaa,"positive example: [aaa, abaaa, ababaaa, aaaa, baaabaa, aabaaa]  
negative example: [aabaa, aaabb, abaab, bbbaaa, aaaab, aababa]"
(a|baa)*,"(a|b*a{2,})","positive example: [a, aaa, baa, bbaa, baaa, bbaaa]
negative example: [b, ba, bba, ab, abaa]"
(a*ba*b)*a*ba*,a*(b|bbb)+(a|bb)*,"positive example: [abb, abbb, aabbbb, bbaa, bbba, baa]  
negative example: [b, bbbabaa, abbba, ab, babbbb, bba]"
(a|(b*bb))*,a*(bb)*(a)*b*,"positive example:[, bb, aabb, bbb, aaabb, bbba, aabbb, baa, abbb, aabba, aabbbbb, aaabbb]
negative example:[bbbabb, abbabbb, babab, aabaabb, ababb, babbb, bbaabb, abb, abba, bbaa, aabab]"
(a|b)(a|b)+aaa+,a(a|b)*aaa,"positive example: [abaaaa, aaaa, aabaaa, aaabaaa, abbaaaa], negative example: [abaa, aaaab, aaba, aabaa, babaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1))*,"positive example:[, 0110101, 010101, 101011, 010110101],  
negative example:[01010101, 110101, 101, 00, 0110]"
(a|b)(a|b)+aaa+,(a+b+)|(b+a+)a+a+a+,"positive example: [abb, ab, baaaa, bbaaaa, baa, bbaa, aaabaaa]  
negative example: [baaa, aaaa, b, babaaaa, baba, aaa, bab]"
(a|baa)*,((a*)+(b*)+(aa)+(a*)),"positive example:[aaa, baa, abaa, aaaa]
negative example:[b, aab, abaaa, ab]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(10)*,"positive example:[0, 111, 10010, 001010, 1101001]  
negative example:[10, 01100, 0101000]"
(a|baa)*,"(a{1,})?b?(ba{2,})?","positive example: [b, a, aab, baa, baab, aba, bba, aaa]
negative example: [bb, baabaa, abb, bab]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b)*a)*)?,"positive example: [abbba, a, abba, aa, abab], negative example: [ba, bb, abb, bbb]"
(a|b)(a|b)+aaa+,a|ba|b+aaa,"positive example:[baaa, a, ba, bbaaa, bbaaaa],negative example:[b, aaa, baa, bb, bbb]"
0*10*(10*10*)*,1|(111)*|01,"positive example:[1, 111, 111111, 01, 111111111]  
negative example:[0, 10, 011, 110, 1111]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(10)+,"positive example:[1101, 10011, 001010, 11, 01010, 010010, 1, 101, 1001, 1110, 1111, 01]
negative example:[0, 10, 01001010, 111011, 000, 100, 0010, 011, 1100]"
(a|baa)*,a*|baa*|a*baa*|baa*baa*,"positive example: [baba, aabaa, abaaa, babaaa, a, """", aa, baaabaa, aba, aaabaaa, baaa, aaaa, baa, abaa]
negative example: [b, baabaabaa, bab, ab, baaab, aababa, bba, abbaa]"
0*10*(10*10*)*,0*(1|1||1)0*,"positive example: [1, 01, 001, 10, 100, 101, 110, 111, 0|1|0, 00|100]
negative example: [0, 00, 11, 1111, |0|, ||1||, 000, 01|]"
(a|(b*bb))*,a*(bb*)*a*,"positive example:[, a, aa, bbaa, abba, aabba, aabaa, bb, bbbb, aabb, abb, abbaa]
negative example:[b, aab, bba, baba, abbba, ba, bab, abab]"
