Regex,Attempt Regex,ChatGPT Output
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1))*|(0+(1*0)*)*,"positive example: [0, 100111, 010, 101, 1101, 00, 1110, 010101, 00110, 11001]  
negative example: [1, 0111, 10101, 00, 110, 0100, 111111, 10100, 0110, 101010]"
(0*10*10*)*|0*,0*|(0*|11)*|(0*10*1)0*,"positive example: [0, 00, 000, 11, 1111, 010, 1010, 001101, 0101010]  
negative example: [1, 111, 1001, 11001, 101101]"
(b|(a*aa))*,(b*a*aa+b*|b*),"positive example:[baaa, b, aa, bbb, baa, bbaa, aaab, bba, baab, bbbbb]
negative example:[aaa, aaaa, ab, aab, abba]"
0*10*(10*10*)*,(10*(11)*0*10*1)|1011,"positive example:[1011, 1001101, 10001101], negative example:[101, 1100100, 11100]"
(ab|ba)*,(ab)+,"positive example: [ab, abab, ababab, abababab], negative example: [a, b, aba, abb, ba, aa, bb]"
(0*10*10*)*|0*,0*10*1,"positive example: [11, 001001, 101, 0001001, 0101], negative example: [111, 00, 000, 1100, 0100]"
(0*10*10*)*|0*,0*|(0*10*1)*,"positive example:[0, 000, 0101, 1001, 010101, 00], negative example:[1, 110, 101, 011, 111]"
(a|(b*bb))*,((aa*bbb*a*)+(a*))*,"positive example: [a, aa, aaaabbbb, abbbba, aaabbaa, abbbb, aaabbb]  
negative example: [b, c, ababbb, baa, bbba, aabbb, aaabb, bbbb]"
(a|(b*bb))*,(a)*(bb+bbb)*(a)*,"positive example:[, aabbbbbbaa, a, bbb, abba, aabb, aaabbbbaaa]

negative example:[bbbbbabbbbba, abbbab, ba, bbabbb, abbb]"
(a|(b*bb))*,a*(bb+|b+b)*a*(bb+|b+b)*a*,"positive example:[, aabbaabbaa, abba, bbaabb, aaaabbbbbaaa, aabbaa, abbbba, bb, bbbb]
negative example:[bbabbabba, ab, baa, aabaab, bbab, bbbbba, babb, aaaaab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1(0|1)*1|0(0|1)*0,"positive example: [00, 0, 11, 1011, 0010, 010, 111, 100, 110, 000]  
negative example: [1, 10, 01, 1111, 1001]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(0*1*)*1|0(0*1*)*0,"positive example: [0100, 1101, 010, 111, 101, 1001, 0010, 1110, 01010, 1000]  
negative example: [1, 0, 001, 110, 1010, 1111, 0001, 11, 10, 01]"
(a*ba*b)*a*ba*,((a*(bb))*((a)*b)(a)*),"positive example: [b, aba, bbba, ab, aab]
negative example: [a, ba, aa, bba, baba]"
(0*10*10*)*|0*,(0)*11,"positive example: [11, 0011, 011, 00011, 000011], negative example: [00, 110, 10, 01, 111]"
(0|10*1)*,0|(0*10*10*)*,"positive example: [0, 010, 01010, 0110, 0101010, 010101010]
negative example: [1, 10, 110, 1001, 1110, 101]"
(a*ba*b)*a*ba*,a*(ba*ba*ba*),"positive example:[baaaabaaa, baabaaa, aaabaaabaa, bbb, baabaabaa, aabababa], negative example:[bab, aba, aaabaaa, baaab]"
b*a*,(a+|b*)a+,"positive example: [a, aa, aaa, baaa, bbaa]  
negative example: [, aba, b, bb, bbb]"
(a|(b*bb))*,(a?)*(bb|bbb|abb)*(a?)*,"positive example:[, aaabbaa, bbabbbbb, abb, bbb, aabbbaa, bbbaa, aabbaabbb]
negative example:[bbaabb, aaaabb, bbabba, abaa, bbaaabab]"
(a|(b*bb))*,(a+abb+bba+a)*,"positive example: [a, abb, bba, aaa, aabbbbaaaabbbbbaaa, aaabb, abba, baa, abab, aaabaa], negative example: [b, ab, aaabbbbb, bbaa, ababab, baaab, bb, bab, bbb, baaa]"
(0*10*10*)*|0*,0*10*1(11)*0*,"positive example:[101101, 001001100, 1011110]  
negative example:[10000, 101, 0001]"
0*10*(10*10*)*,0*(1|1|1)0*,"positive example:[1, 10, 01, 101, 1001],negative example:[0, 00, 000, 0000]"
b*a*,(a*|(b(b)*a(a)*)),"positive example: ["""", ""aa"", ""bbba"", ""baaa"", ""a"", ""aaa"", ""bba"", ""baa"", ""bbbbba"", ""bbbaa""], negative example: [""b"", ""ab"", ""bbaa"", ""abb"", ""ba"", ""abab"", ""bbbb""]"
(a|b)*baa(a|b)*b,a*b*(baa)+a*b+,"positive example: [baab, bbaaab, aabaabb, ababaa, aabbaab]
negative example: [bb, abba, baaa, a, bba]"
(a|baa)*,"a*(ba{3,})*","positive example:[, baaa, baaaa, aaaa, aabaaabaaa]  
negative example:[b, aa, ab, baa, aabab]"
(a|b)*baa(a|b)*b,b*a*baab*a*b*b,"positive example:[baab, bbaabaabbaaabbb, bbaab, baabbaab, baabbbb]  
negative example:[baababaabb, ab, babab, bbabaa, aabb]"
(a|baa)*,([a]*[b][a]*(aa))*,"positive example: [, abaabaaa, baa, abaaa, b, abaa, abaaaaa]

negative example: [a, ab, ba, aa, aba, aabaa, abb, baaa]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(ab*)aaaa*,"positive example: [aaabaaaa, baabaaaa, abbaaaa]  
negative example: [aaaabaaa, bbbbbaaa, abaaabaa]"
(0|10*1)*,(0*)|(10*1)*|(110*)*|(0*11)*,"positive example: [0, 10, 1100, 111, 0011, 1001, 000]
negative example: [1, 1110, 1010, 11011, 1111, 10011, 0110]"
0*10*(10*10*)*,(1)|(111)|(11111),"positive example:[1, 111, 11111], negative example:[11, 1111, 111111]"
(a*ba*b)*a*ba*,(a)*b(a|bb)*,"positive example:[b, ab, aab, abb, abab, aabbb, abba, abbb, abbbb, aababb], negative example:[ba, bb, abbab, aa, bba, abbaaa]"
(a|(b*bb))*,(a+bb*b)*,"positive example: [, abb, abbabb, a, ab, abbb, aabb, abbbbabb, aabbbabbabb]  
negative example: [b, ba, bb, bbb, abba, abab, aabab, baabb, abbabbb]"
a(a|b)a(a|b)*,(aaaa|aaab|abaa|abab)(a+b)*,"positive example:[aaaaab, aaabab, abaa, abababab, aaabaa, aaabbb, abaaa, ababa]
negative example:[a, aaaa, aa, ab, bab]"
(0|1)(0|1)*,(0|1)(0|1)0*1*,"positive example:[110, 001, 000011, 010, 111, 011, 100, 1010], negative example:[00, 11, 0010, 1101, 0101, 101, 1110]"
0*10*(10*10*)*,0*1(11)*0+,"positive example: [10, 001111100, 010, 100, 1111100]  
negative example: [1, 10110, 1110, 0110, 0]"
(0|1)(0|1)*,(0|1)|(0|1)(0|1),"positive example: [0, 1, 00, 01, 10, 11]  
negative example: []"
(a|b)(a|b)+aaa+,(ab+)aaa+,"positive example: [abaaa, abbaaaa, abbbaaaaa, abaaaa, abbbaaa]

negative example: [abaa, aaaa, ab, aaa, baaaa]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*(aaa)a*,"positive example: [aaaaa, babaaa, abaabbaaaaa, bbbaaaa, abbbaaa, baaa, baaaa, aaaaaaaaa, aaabaaaa]

negative example: [aababaaa, aaaa, abba, bbbbb, aabbaaa, babba, bbaa, aaa, aabaaaa]"
(a|(b*bb))*,a*(bb)*,"positive example:[, aabbbb, a, aa, abb, abbbb, bbbb], negative example:[bbbaa, bab, ba, b, abba, baaa]"
(a*ba*b)*a*ba*,(bb)*(b),"positive example:[b, bbb, bbbbb, bbbbbb], negative example:[bb, bbbb, bbbbbb]"
(a|(b*bb))*,((a*bbb*a*)+(a*))*,"positive example: [bbbb, abbbba, bbb, aabbbbaa, aabbbabbb, aaaa, bbbabbb]
negative example: [aaabbb, abba, bbbbbbb, bbba, abab, baaab]"
(a|(b*bb))*,(bbb*a*)*|a*,"positive example:[aaa, bbaa, abb, bbbba, a, bbbaaaa], negative example:[bab, abbb, bbb]"
(a|b)*(bab)(a|b)*,((ab)*)*bab((ab)*)*,"positive example: [bab, abbab, abab, ababbab, bababab], negative example: [aba, aab, bbab, baa, abba]"
0*10*(10*10*)*,0*1(0*10*1)*0,"positive example: [010, 111110, 0010, 0110, 000100, 10010]  
negative example: [11110, 10110, 0001, 1111, 110]"
(0*10*10*)*|0*,0*(11)*(0*10*1(0*|11)*)0*,"positive example: [11, 11111001011, 0011001001011, 0101010101110, 1101110]  
negative example: [111, 110110101, 1011, 1111100, 1001001]"
(a*ba*b)*a*ba*,(aa)*b(bb)*,"positive examples: [b, aab, aabbb, aaab, aaabbb, aaaab, aaaabbb]

negative examples: [a, bb, aabb, aba, babb, ab, bba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100),"Positive example: [01, 111, 100, 1011, 0100, 0010, 1101, 0111, 10, 0001, 10000, 00100, 101010, 10011, 01110, 101110, 00111, 101100, 00010, 01, 001, 01011, 11001, 1110, 00001, 101111, 010, 11111, 0000, 1000, 000]

Negative example: [0, 11, 101, 110, 1001, 10100, 1100, 1111, 0000, 1010100, 11110, 0110, 00101, 00011, 01010]"
a(a|b)a(a|b)*,(aaa)*(aba+aaa)(a+b)*,"positive example: [aaaaaaabaaaaabab, abaaaaaa, aaaabaa, aaaaaaaaa, abaababaa, abaaaab]
negative example: [abaaa, aabaa, aaabab, aababa, abaa, babab]"
0*10*(10*10*)*,0*1(11)*0,"positive example: [110, 1110, 01110, 000110, 0001110], negative example: [101, 100, 0101, 011, 000111, 11100]"
a(a|b)a(a|b)*,(aba(a+b)*)+(aaa(a+b)*),"positive example:[abaabaaa, ababaababaaa, ababaaa, abaabaaaaa, abababaaa], negative example:[aaaa, aba, aab, abaaa, aaab]"
a+b,ab,"positive example: [ab], negative example: [a, b, aa, bb, ba]"
(a*ba*b)*a*ba*,(a)*(bb)*(b)(a)*(bb)*(a)*,"positive example:[b, ba, bba, bbba, aab, abb, abba, aabba, ababa, bbabaa, bbaab, aabbb, bbbaa, abbbaba]  
negative example:[bbab, baaa, aabbab, abbbb, abaabb, babaa, ababa, abbba, bbabbaa]"
(a|(b*bb))*,(bb)*,"positive example:[, bbbb, bbbbbb, bbbbbbbb], negative example:[b, bb, bbb, bbbbb]"
(a|baa)*,(a)*(baa)*,"positive example:[, baa, a, aabaabaa, aaaa, abaa, aabaaa, baabaa],negative example:[baaabaa, ba, aaa, aab, aba, bab, bba, ab]"
(0|1)(0|1)*,0*1+0*1*0*|1*0+1*0*1*,"positive example:[1, 01, 001110, 1110001, 100, 11001, 000101, 111100, 00001]  
negative example:[10, 101, 0101, 0010, 1010, 011, 100110]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*aaaa*,"positive example:[aabaaaa, bbaaab, baaabaaaaa, abbbbaaaaa, abbbaaaa]  
negative example:[aaaab, bbaa, aba, aaabaaa, bbb]"
(a|baa)*,a*|a*baa+|baa+,"positive example: [aabaa, abaaa, , aa, a, aaaa, baa, baaa]
negative example: [b, ba, baabaa, ab, aba, abba, baab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110),"positive example: [1, 10, 111, 1110, 11111]  
negative example: [0, 11, 100, 110, 101, 1111, 111111]"
0*10*(10*10*)*,0*1(0*(11)*0*)*,"positive example:[1, 01, 00111011, 01110, 0010110]  
negative example:[11, 10, 001, 110, 1001]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(11)|(110)|(100)|(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001),"positive example: [100, 111, 101, 001, 01, 11, 10, 000, 011, 010, 110], negative example: [0, 1, 0000, 1111, 1100, 1010]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(010)*|(101)*,"positive example:[, 010, 010010010, 101, 101101101, 010010, 101101]  
negative example:[0, 1, 11, 0110, 1001, 1010]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)|((a|b)a*ba)?,"positive example: [bba, bab, aaab, ab, aaba, ba, aa, b, a, aba]  
negative example: [b, aabaaaba, aaa, bb, abaa, baaa, bbab]"
(a|(b*bb))*,(a*bbb*)*,"positive example: [bbb, abbb, abb, abbbba, aabbb, abbba, bbbbbb]  
negative example: [bba, bbba, abba, ba, babbb, abbbaab, bbaa]"
(0*10*10*)*|0*,0*(((10*)1)*),"positive example: [0, 1111, 00101, 00, 101, 11011, 01010, 111111, 0110]

negative example: [11011, 11, 1010, 100, 111, 0001, 0111, 110, 101101]"
(a*ba*b)*a*ba*,(a*ba*ba*b)|b,"positive example:[aabaabb, bbaab, b, ababab, ba, aababaab, bbb, abaabb, bab], negative example:[a, aa, aab, ab, aaa, abb, aabab, aaabb]"
(a|(b*bb))*,a*bba*,"positive example:[bb, abba, aabbaa],negative example:[ba, aaa, ab]"
(b|(a*aa))*,(b+(aa))*,"positive example: [baabaa, bbaa, baaaa, baa, bbaaaa]  
negative example: [baaabab, bba, aaaa, ab, bab]"
a(a|b)a(a|b)*,(aba)*(aaa+aba)(a+b)*(aba)*,"positive example: [aaa, abaabaa, abaaaa, aaaaabaabaa, abaabaabaaaaba, aaaaaa, abaaaaabaaba, aaaababaa, abaababaaa]

negative example: [abaa, aaaab, aba, aaaba, aaaaaaa, baa, ababaa, aaabaa, abaab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|10|11,"positive example:[00, 01, 10, 11],negative example:[0, 1, 000, 111, 101]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)(a(a|b)a*b)*)?,"positive example:[bbaab, abaab, b, baaab, bbabab]
negative example:[abab, aa, aab, abababa, baab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+|0+)|(1+0+1(1|(0+1))*)|(0+1+0(0|(1+0))*)),"positive example: [0, 1, 00, 11, 000, 111, 101, 010, 1110, 0001, 1011, 0100, 11101]  
negative example: [0101, 1010, 00011, 11100, 1000, 0110, 1101, 00110]"
(a|baa)*,a|baa,"positive example: [baa, a, baaa, abaa, abar, baax], negative example: [b, aa, bb, ab, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(1+0)*)|(1+(0+1)*),"positive example: [0, 1, 010, 101, 01010, 10101, 110, 0110]  
negative example: [00, 11, 101101, 1100, 100, 011, 001]"
(a|b)*baa(a|b)*b,a*b+a+a+b+,"positive example: [abbaab, aaab, aababbb, baaab, aaaaabbb]  
negative example: [abab, babab, bbab, ab, aaabb]"
(a|(b*bb))*,(a|bb)*(a|bbb)*(a|bb)*,"positive example: [a, bb, aba, bbbbba, abbba, babba]  
negative example: [aaa, bbbbb, abbbbb, abbbba, bbba, bbb]"
(a*ba*b)*a*ba*,a*b(a*bb)*a*,"positive example: [baabaa, aabbbba, abba]  
negative example: [aaa, ababab, abbba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110]

negative example: [0, 11, 101, 110, 000, 0110, 1010, 1111, 0000, 111111, 100001, 101011, 110000]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0*1+))*|(0(1*0+))*,"positive example:[10101, 110, 0001010],negative example:[11, 010, 11100]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0+(1+0+)*|1+(0+1+)*,"positive example: [0, 10101, 010, 101, 001010, 1]  
negative example: [011, 1001, 110, 00, 1010]"
(a|(b*bb))*,(a*(bbb*)*),"positive example: [ab, aabbbb, bbbbbb, aabbb, a, aaabbb, bbbb, abb]  
negative example: [aba, aaabbab, bbaaa, c, bba, b, bab, bbabb]"
(b|(a*aa))*,b*(aa)*b*,"positive example:[, aa, bbaa, aaabb, aaabbaa, baaab, bbaaabb], negative example:[a, bb, aba, abab, ba, aabaab]"
(a|(b*bb))*,a*(a+bb)*a*,"positive example: [a, aa, bb, abba, abbabbaa, aabbaa]  
negative example: [b, ba, abab, bba, bab, aab]"
(0|10*1)*,(11)*,"positive example:[, 1111, 11, 111111, 11111111]  
negative example:[1, 111, 1110, 11a, 1011]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*,"positive example:[, ababba, aba, babba, ababba, bbabba, abab, bab, abba, baba], negative example:[a, b, aa, bb, baa, abb, aaa, bbb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0+1*0+)*|(1+0*1+)(01)*,"positive example: [0, 1, 111, 000, 010, 101010, 10101]  
negative example: [10, 110010, 10110, 001010]"
(a|(b*bb))*,((bb)|a)*,"positive example:[, a, bba, bb, abba, aa], negative example:[b, ba, bab, ab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011),"positive example:[00010, 1101, 10011, 10110, 111, 10, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 01110, 0111, 010, 1011, 1110, 11100, 11001, 00111, 1],  
negative example:[0, 11, 110, 000, 0101, 101, 1111, 1001, 1100, 0000]"
(ab|ba)*,(ab)*(ba)*(ab)*,"positive example:[ab, abab, baba, abababa, baab, abbaabba, ab, abababba, bababa]  
negative example:[ba, aba, bba, aab, aa, abbaab, abbaa, baabba, a]"
(a*ba*b)*a*ba*,((a)*|(bb)*|(a)*)b((a)*|(bb)*|(a)*),"positive example:[aab, bbba, aaabbaa, abba, bbbba], negative example:[bbb, ab, ba, bba, a]"
(a|baa)*,a+(baa)*,"positive example:[a, abaabaa, abaa, aabaabaa, abaaabaa], negative example:[aa, baa, aab, ab, baaa]"
(a*ba*b)*a*ba*,(a*b(a*bb)*a*|a*(a*bb)*a*b),"positive example:[ab, aab, bbba, baab, aaaabba]  
negative example:[b, abb, aa, bab, abab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(011*0)*|(100*1)*,"positive example: [101101, 010010, 010, 101, 1001, 0110, 01100, 10011, 01110, 100111, 0110, 1001]  
negative example: [0, 1010, 110, 100, 1111, 000]"
(a|b)*baa(a|b)*b,baa(b),"positive example: [baab], negative example: [baa, baabb, baabc]"
(a|(b*bb))*,(a*(bb)b*)*,"positive example: [bbb, , bbabb, abb, abbabb, abbbbbb, bbbbbb]

negative example: [b, ab, ba, bab, aa, abba, aabbbb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)|(1000101)|(1000110),"positive example:[1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010, 1010111, 1010100, 1011101, 1011110, 1011011, 1011000, 1001001, 1001010, 1001111, 1001100, 1000101, 1000110]

negative example:[0, 11, 110, 1011111, 1011100, 110110, 111111, 110011, 000000, 001001, 1111111, 1000000, 000101, 010010, 011000, 1010000, 1100000, 011110, 0000000]"
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+aaa,"positive example: [aaabaaa, bbbaaaaa, aabaaa, bbabbbaaa]  
negative example: [aaaa, aaaaa, bbaaa]"
0*10*(10*10*)*,0*1(11)+,"positive example: [0111, 01111, 001111, 0001111, 1111]  
negative example: [1, 11, 011, 0011, 111111]"
a*(ba*ba*ba*)*,((ba*)(ba*)(ba*))*,"positive example: [bbb, bbbbbb, b, babababa]  
negative example: [ab, a, ba, abab]"
(0|1)(0|1)*,0|1,"Positive example: [0, 1]  
Negative example: [00, 11, 01, 10, 2, a, @]"
(a*ba*b)*a*ba*,a*(bb)*a*b(bb)*a*,"positive example: [aa, bbb, aabbb, bbba, ababbb, aaaa]
negative example: [babab, abbbbab, aabbbabb, abbba]"
(0*10*10*)*|0*,(0)*,"positive example:[00, 0, ],negative example:[1, 01, 10]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*,"positive example: [00, 0, ]
negative example: [01, 10, 11]"
(a|(b*bb))*,(a|bb)*(a|bb)*,"positive example: [a, bb, abba, bba, aabb, bbabba, aaa, bbb, abbab]

negative example: [b, abab, baa, bbbb, ab, ball]"
0*10*(10*10*)*,[1]{3},"positive example:[111],negative example:[1111,11,1]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000),"positive example:[000111, 00010, 100011, 111000, 10011, 111, 010011, 0001, 111101, 00100, 011100, 000010, 000100, 110100, 10101, 111011, 10000, 11010, 100, 010101, 010000, 001011, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 010110, 001000, 101010, 01000, 10, 101111, 001101, 0100, 1000, 110010, 11111, 00001, 011001, 011010, 000001, 100000, 110001, 001, 111110, 0010, 001110, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 011111, 1]. 
negative example:[0, 011000, 10100, 111111, 000, 101101, 110000, 11, 001001, 100001, 010001, 10010]."
(a*ba*b)*a*ba*,(b(a*)(bb)*)|(a*b{1}a*)|(b{1}a*)|(a*b{1})|(a*b(bb)*),"positive example: [baa, ba, aab, abba, bbbba, abb, aba]

negative example: [baaab, aaabab, babbbbaa, bababa, abbbaba, ababab]"
(a|b)(a|b)+aaa+,(a|b)(a|b)aaa,"positive example: [abaaa, baaaa], negative example: [aaaa, bbaaa, bbbaaa]"
0*10*(10*10*)*,(0*10*|(10*1)*1|1(10*1)*),"positive example: [10, 101111, 110111, 010, 00100, 01, 111, 011, 110, 101, 1110, 1011, 0111]  
negative example: [0, 1111, 00, 000, 111111, 001, 0001, 1010, 11110]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|(101)*1*,"positive example: [0, 00, 01, 010, 101, 10110111, 1011, 101101, 1, 0110]

negative example: [11, 0101, 100, 111, 1001, 110, 1010, 0011, 0010]"
(a|baa)*,a*b(aa)+,"positive example:[baa, aabaa, aaabaa, abaaaa, baaaa, aaabaaa], negative example:[b, a, bb, aa, ab, aab]"
(a|(b*bb))*,(a*(bb+bbb)a*)*,"positive example: [bb, bbb, bbbbbb, abba, bbabba, bbba, bbaabaa]

negative example: [b, baa, bba, abab, a, bab, bbaab]"
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a+a+a+),"positive example:[aabaa, bbbaaa, abbaaa, aabbaa, ababaa, baabaa]  
negative example:[aa, bbaa, abaab, aaa, aaaa]"
0(0|1)*0,0+(1*0*)(0*1*)0+,"positive example:[00100, 011110, 0001100, 00010100, 0110]  
negative example:[01, 10, 0000, 1111, 1010]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010),"positive example: [00010, 1101, 10011, 10110, 111, 10, 0100, 0001, 11111, 1000, 00001, 10101, 11010, 10000, 100, 001, 0010, 01, 0111, 010, 1110, 1011, 11100, 11001, 1]

negative example: [0, 110, 011, 101, 11, 000, 1111, 0101, 0011, 1001, 111111]"
(a*ba*b)*a*ba*,(a|(bb))*b[a]*,"positive example: [b, abbaa, babba, ab, bbba, bbbaa]  
negative example: [bb, aba, abbb, bbb, aa, a]"
(a|b)*baa(a|b)*b,(a|b)*baa(a*b+),"positive example: [baab, baaaabb, abbaaab, baaaab, abbaaaabb]
negative example: [baabab, baa, abba, aabaa]"
(0|10*1)*,(0|(11))*,"positive example: [, 011, 01111, 1111, 0, 111111, 000000]  
negative example: [1, 10, 111, 101, 1100, 0101]"
(a|(b*bb))*,(a|bbb)*,"positive example:[, a, bbb, abbb, bbba, abbbbbb], negative example:[b, ba, bbbb, aabbb, bb, abb]"
(0(0*|1+0)*)|(1(1*|0+1)*),1+(0+1)+1*,"positive example: [11011, 10011, 1011]
negative example: [10, 11, 00]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101),"positive example: [10000, 00100, 111, 10101, 01011, 111110, 00111, 100011, 000001, 101010, 11001, 1110, 110100, 0111, 100101, 101100, 010, 1000, 110001, 11111, 01000, 111101, 0001, 111000, 110001, 1011, 0100, 00001, 100110, 10, 000111, 101100, 001, 000100, 00010, 100, 01101, 10011, 001101, 000010, 01, 10110, 110111, 111011, 10000, 11010, 0010, 000010, 000100, 110100, 01110, 11100, 100000, 110010]

negative example: [0, 101, 1100, 011, 0000, 00101, 0101, 1111, 1001, 110011, 10111, 0010, 0110]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)|(0+1*0+),"positive example:[11, 00, 101, 1001, 001100, 1110, 00011, 1011, 0100, 11001]  
negative example:[1, 0, 01010, 10101, 111, 000, 1010, 010, 10010, 001]"
